epidemiological_week,date,order_for_place,state,city,city_ibge_code,place_type,last_available_confirmed,last_available_confirmed_per_100k_inhabitants,new_confirmed,last_available_deaths,new_deaths,last_available_death_rate,estimated_population_2019,is_last,is_repeated
17,2020-04-23,59,SP,,35,state,16740,36.45546,826,1345,211,0.0803,45919049,False,False
17,2020-04-23,37,TO,,17,state,43,2.73386,6,2,0,0.0465,1572866,False,False
17,2020-04-22,37,AC,,12,state,214,24.26483,19,8,0,0.0374,881935,False,False
17,2020-04-22,46,AL,,27,state,243,7.28121,33,20,1,0.0823,3337357,False,False
17,2020-04-22,41,AM,,13,state,2479,59.81281,209,206,13,0.0831,4144597,False,False
17,2020-04-22,34,AP,,16,state,492,58.17453,26,14,1,0.0285,845731,False,False
17,2020-04-22,48,BA,,29,state,1645,11.06026,141,53,5,0.0322,14873064,False,False
17,2020-04-22,38,CE,,23,state,4116,45.07189,434,239,18,0.0581,9132078,False,False
17,2020-04-22,47,DF,,53,state,959,31.8048,46,25,1,0.0261,3015268,False,False
17,2020-04-22,49,ES,,32,state,1351,33.61825,38,37,3,0.0274,4018650,False,False
17,2020-04-22,42,GO,,52,state,438,6.24078,17,21,2,0.0479,7018354,False,False
17,2020-04-22,34,MA,,21,state,1757,24.83329,153,76,10,0.0433,7075181,False,False
17,2020-04-22,46,MG,,31,state,1283,6.06081,53,47,3,0.0366,21168791,False,False
17,2020-04-22,40,MS,,50,state,175,6.29726,2,6,0,0.0343,2778986,False,False
17,2020-04-22,34,MT,,51,state,205,5.88325,24,6,0,0.0293,3484466,False,False
17,2020-04-22,36,PA,,15,state,1195,13.89072,169,43,5,0.036,8602865,False,False
17,2020-04-22,42,PB,,25,state,345,8.58609,44,40,1,0.1159,4018127,False,False
17,2020-04-22,42,PE,,26,state,3298,34.50848,390,282,22,0.0855,9557071,False,False
17,2020-04-22,35,PI,,22,state,217,6.62954,11,15,0,0.0691,3273227,False,False
17,2020-04-22,42,PR,,41,state,1077,9.41931,38,60,5,0.0557,11433957,False,False
17,2020-04-22,49,RJ,,33,state,5552,32.15765,246,490,29,0.0883,17264943,False,False
17,2020-04-22,42,RN,,24,state,708,20.18904,62,34,5,0.048,3506853,False,False
